t,x_acc,y_acc,z_acc,x_rot,y_rot,z_rot,move_type
5.864929417,-0.4734654236,-14.20815399,1.164877625,0.08116021007,-0.7820271254,6.174711704,0
5.874881417,0.08247848511,-11.35553604,2.107617188,0.2033800185,-0.3950431049,6.846953392,0
5.884833417,1.106349335,-7.872578888,2.67134491,0.2587333024,0.1350426227,7.356848717,0
5.894785417,2.265389099,-3.489094391,2.90530838,0.1732663959,0.6777397394,7.759100437,0
5.904738417,3.277284851,3.442690887,2.794089661,-0.2148515135,1.159334421,7.955221176,0
5.914690417,5.453459473,13.73004822,2.24188797,-0.907237947,1.606102109,7.902347565,0
5.924642417,8.752598877,31.24243103,1.714534607,-1.831376672,1.440379381,6.929235458,0
5.934594417,14.30350571,48.65377396,2.851869507,-2.72997117,1.404377818,4.194224358,0
5.944547417,23.48107086,55.572686,4.803810425,-3.24334693,1.903983116,1.509935141,0
5.954499417,23.88148819,61.15218338,8.138276367,-3.113999367,1.78241539,-0.7422381043,0
5.964451417,17.93615158,64.12634857,13.87300095,-2.145730734,2.01072669,-2.561740637,0
5.974403417,11.82016983,65.26982071,18.53790024,-0.5722341537,2.164576054,-3.650640488,0
5.984356417,6.161487122,63.70587296,19.82297791,0.7626148462,2.176532984,-4.38149929,0
5.994308417,4.943470001,57.73254456,15.2962413,1.164105773,1.771455765,-5.094254017,0
6.004260417,6.835385742,44.18062592,8.585246887,1.018444777,1.965014219,-5.913221359,0
6.014212417,9.161698151,28.57123581,2.032772827,0.7432867885,1.972333431,-5.956224918,0
6.024165417,6.725963287,25.04711426,-0.2520758057,0.395380199,1.927474022,-5.879758358,0
6.034117417,7.107519836,19.73795471,-1.355581055,0.2272785306,1.968143106,-5.884672165,0
6.044069417,9.025331726,14.98893036,-2.458786926,0.322396785,1.86727345,-5.901848316,0
6.054021417,10.53284683,11.50687134,-1.941462708,0.6678826213,1.738431334,-5.882008076,0
6.063974417,11.49444717,8.267308044,-1.338366852,1.228705287,1.605244756,-5.833930969,0
6.073926417,12.27342728,5.093009033,-0.6209088135,1.981009007,1.423551798,-5.658366203,0
6.083878417,12.29333588,1.720821533,-0.2677931213,2.883055925,1.082409024,-5.314357758,0
6.093831417,11.72736282,-1.76213562,-0.4318519592,3.747388363,0.6325980425,-4.863472939,0
6.103783417,11.49789001,-4.67328186,-1.312321014,4.25611639,0.1392357349,-4.355287075,0
6.113735417,11.5020813,-6.721921692,-3.291654968,4.141108036,-0.3866671324,-3.805358887,0
6.123687417,11.80909286,-7.611970825,-5.749992828,3.406660795,-0.7510488629,-3.203792095,0
6.133640417,12.53747818,-7.838300171,-7.819439392,2.2479949,-0.8564726114,-2.66661334,0
6.143592417,13.46330292,-8.194858704,-9.023834839,0.9292836189,-0.8204869032,-2.278956175,0
6.153544417,13.91326721,-8.806187439,-9.198521576,-0.123378396,-0.8468467593,-1.925817251,0
6.163496417,13.53874603,-9.445507965,-7.955656128,-0.6084395647,-1.057413578,-1.437081337,0
